"Produkte und Marken, die Kunden auf Google kaufen"
"Filter: Land = DE;Kategorie = 473;Zeitraum = W20260209;Verfügbarkeit = Produktvorschlag, Markenvorschlag"
Beliebtheitsrang,Titel,Marke,Verfügbarkeit,Mindestpreisspanne,Maximale Preisspanne,Preisspanne Währung,GTINs
65,"Creme für Neurodermitis, Hautliebe Komplettset für trockene & sensible Haut - Neurodermitis Creme, Neurodermitis Gesicht​, Neurodermitis Behandlung​",Hautliebe,Markenvorschlag,,,,
66,fenominal fragrance Fenominal 768 Duftzwilling Günstiger Dupe,Fenominal Fragrance,Markenvorschlag,36,36,EUR,
67,Guerlain Rouge G Case Le Strassé,Guerlain,Markenvorschlag,24,36,EUR,03346470439436
68,CurrentBody Skin Led Lichttherapie Maske,CurrentBody Skin,Markenvorschlag,450,450,EUR,00731093154447
69,La Roche Posay Anthelios UVmune 400 Invisible Fluid SPF50+,La Roche-Posay,Produktvorschlag,17,23,EUR,03337875797597 03337875797580
70,Dr Massing Sensitiv Wimpernserum,Dr. Massing Cosmetics,Markenvorschlag,50,50,EUR,04260743630025
71,KU2 Cosmetics Wimpernserum,KU2 Cosmetics,Markenvorschlag,50,50,EUR,04260516960021
72,Charlotte Tilbury Airbrush Flawless Setting Spray,Charlotte Tilbury,Markenvorschlag,17,40,EUR,05056446658409 05056446616171 05056446658928
73,Marc-Antoine Barrois Tilia Eau de Parfum,MARC-ANTOINE BARROIS,Markenvorschlag,115,120,EUR,03770006409936 03770006409844 03770006409851
74,Clinical 1% Retinol Treatment Paula's Choice,Paula's Choice,Produktvorschlag,57,61,EUR,00655439008044 00655439005951
75,Charlotte Tilbury Airbrush Flawless Finish,Charlotte Tilbury,Markenvorschlag,27,52,EUR,05060696176132 05060696176118 05056446644594
77,Nø Cosmetics 120h Liquid Hydrator XL | Feuchtigkeitsspendendes Liquid mit Panthenol,Nø Cosmetics,Markenvorschlag,20,20,EUR,
78,LANEIGE Lip Sleeping Mask,LANEIGE,Produktvorschlag,11,25,EUR,08809803532549 08809803532563 08809585111628
79,La Roche Posay Lipikar Baume Light AP+M,La Roche-Posay,Produktvorschlag,16,26,EUR,03337875930338 03337875803786
80,Carolina Herrera Good Girl Eau de Parfum,Carolina Herrera,Markenvorschlag,41,147,EUR,08411061041673 08411061026342 08411061026250
81,Lancôme La Vie Est Belle Eau de Parfum,Lancôme,Markenvorschlag,27,129,EUR,03605532612690 03605533286555 03614273749381
82,Charlotte Tilbury Lippenpflege-Set Pillow Talk Duo Lip Set,Charlotte Tilbury,Markenvorschlag,23,27,EUR,05060696172172 05056446647694 05060696178020
83,Dior Dior Addict Lip Glow Oil,Dior,Markenvorschlag,31,48,EUR,03348901792226 03348901792141 03348901792158
84,Svenja Walberg Browcoca!ne Brow Booster Serum,Svenja Walberg,Markenvorschlag,30,30,EUR,04260544080050
86,La Roche Posay EFFACLAR Reinigungsgel,La Roche-Posay,Produktvorschlag,12,34,EUR,03337872411991 03337872411083 03433425489131
87,Dermasence RosaMin Tagespflege LSF 50,DERMASENCE,Markenvorschlag,18,38,EUR,04260149619419
88,Eucerin AtopiControl Gesichtscreme,Eucerin,Markenvorschlag,20,20,EUR,04005800076503 04005800348433 04005800350504
89,Madagascar Centella Hyalu-Cica Water-Fit Sun Serum SKIN1004,Skin1004,Produktvorschlag,8,23,EUR,08809913830450 08809913830122 08809576261592
90,Medicube Age R Booster Pro,Medicube,Produktvorschlag,163,304,EUR,08800256119417 08800256114481 08800256119400
91,Jean Paul Gaultier Eau de Toilette Le Male,Jean Paul Gaultier,Markenvorschlag,38,104,EUR,08435415111973 08435415012669 08435415012690
92,Dermasence Adtop Creme,DERMASENCE,Markenvorschlag,6,35,EUR,04260149618498 04260149618504 04250301179639
93,Avene Tolerance Control Creme,Avène,Markenvorschlag,18,19,EUR,03282770138801
94,Narciso Rodriguez for her Pure Musc Blanc Eau de Parfum Intense,Narciso Rodriguez,Markenvorschlag,60,171,EUR,03423222143916 03423222143930 03423222143947
95,RefectoCil 3,Refectocil,Markenvorschlag,5,6,EUR,09003877057307 09003877907060
96,Brightening Booster Ebenmäßiges Hautbild mit weniger Rötungen und Pickelmalen,Colibri Skincare,Markenvorschlag,25,25,EUR,04260480860822
97,Judith Williams Magic Wonder Eye Balm,Judith Williams,Markenvorschlag,15,25,EUR,09120112229043
98,Yves Rocher Gesichtspflegeset Crème Riche female,Yves Rocher,Markenvorschlag,25,50,EUR,03660005264622
99,girlgotlashes Natural Edition Mini Boxen,GirlGotLashes,Markenvorschlag,11,11,EUR,
100,Syxgott Heartbreaker Extrait de Parfum Vapo,Syxgott Parfum,Markenvorschlag,60,99,EUR,04270003204521
101,Sterillium 500 ml,HARTMANN,Markenvorschlag,,,EUR,04031678000784 04031678027149
102,Chanel Bleu de Chanel Parfum,CHANEL,Markenvorschlag,74,319,EUR,03145891073508 03145891073607 03145891071801
103,Maybelline New York Serum Lipstick,Maybelline,Markenvorschlag,8,10,EUR,
104,Montale Arabians Tonka Eau de Parfum,Montale,Markenvorschlag,110,299,EUR,03760260457354 03760260457378
105,MAC Lustreglass Lipstick Lippenstift,M·A·C,Markenvorschlag,18,29,EUR,00773602609789 00773602742035 00773602610051
106,Rotlichtmaske Testsieger 2025 - LED Lichttherapie gegen Falten,Silky Planet,Markenvorschlag,140,140,EUR,
108,Dick Johnson Eau De Parfum Serpent Whiskey & Vanilla,DOVO,Markenvorschlag,60,60,EUR,06430076875006
109,Jolifin LAVENI Starter-Set - M - Luna Gerät,Jolifin,Markenvorschlag,70,70,EUR,
110,Paula's Choice Pro-Collagen Peptide Plumping Moisturizer,Paula's Choice,Produktvorschlag,18,22,EUR,00655439015172 00655439015103 08720828269428
112,ALLERGIKA Augenlidcreme MED 15 ml,ALLERGIKA,Markenvorschlag,17,18,EUR,04051452050309
113,Chanel Coco Mademoiselle Eau de Parfum,CHANEL,Markenvorschlag,60,270,EUR,03145891163902 03145891165203 03145891164206
114,caia signature line CAIA That Extra Hydration Setting Spray,CAIA,Markenvorschlag,27,27,EUR,07350099231667
115,Set gegen Keratosis Pilaris – Glättet raue und unebene Haut,Australian Body Care,Markenvorschlag,32,60,EUR,05709455024689 05709455024696
116,Judith Williams Magic Wonder Glow Serum,Judith Williams,Markenvorschlag,30,30,EUR,09120130826682 09120130820307
117,Maybelline Instant Anti-Age Concealer,Maybelline,Markenvorschlag,7,12,EUR,03600530733446 03600530733460 03600531507817
118,Make Up For Ever Artist Color Pencil,MAKE UP FOR EVER,Markenvorschlag,23,27,EUR,03548752132909 03548752132879 03548752132855
119,La Roche-Posay Toleriane Sensitive Creme,La Roche-Posay,Produktvorschlag,15,15,EUR,03337875675079 03337875578486 03433425474052
120,Yves Saint Laurent Eau de Parfum Libre,Saint Laurent,Markenvorschlag,24,196,EUR,03614272648401 03614272648418 03614272648425
121,EUCERIN AtopiControl Balsam,Eucerin,Markenvorschlag,15,26,EUR,04005800280351 04005900791047 04005900799470
122,Eucerin Aquaphor Protect Repair Salbe,Eucerin,Markenvorschlag,6,20,EUR,04005800019869 04005800220449 04005800221422
123,Maybelline Mascara Lash Sensational Sky High,Maybelline,Markenvorschlag,8,20,EUR,00000030144552 00000030147317 00000030152830
125,Anua Azelaic Acid 10 Hyaluron Redness Soothing Serum,Anua,Produktvorschlag,16,22,EUR,08809640737190
126,Cerave Reinigungsgel,CeraVe,Produktvorschlag,8,18,EUR,03337875597197 03337875597357 03337875597340
127,Inspiriert von Delina Duftzwilling | Cianni 525 | Extrait de Parfum 50ml,Cianni Fragrances,Markenvorschlag,25,25,EUR,
128,bedrop Bienengiftsalbe Bee Cream,bedrop,Markenvorschlag,15,15,EUR,
129,Niacinamide 10% + Zinc 1% The Ordinary,The Ordinary,Markenvorschlag,6,11,EUR,00769915195941 00769915195958 00769915190311
130,nudecosmetics LED Face Mask Anti-Aging,nudecosmetics,Markenvorschlag,189,189,EUR,
131,Dior Sauvage Eau de Parfum,Dior,Markenvorschlag,49,237,EUR,03348901368254 03348901368247 03348901428545
132,Emla 25 mg/g + 25 mg/g Creme,Kohlpharma GmbH,Markenvorschlag,8,35,EUR,
134,LACOSTE POUR FEMME EAU DE PARFUM,Lacoste,Markenvorschlag,21,56,EUR,03386460149365 03386460149433 03386460149358
135,plants are purple Wonder Foundation Serum,Plants are Purple,Markenvorschlag,35,35,EUR,04260687921005 04260687921036 04260687920992
136,Dermasence RosaMin Reinigungsemulsion,DERMASENCE,Markenvorschlag,11,17,EUR,04260149618634
137,Nø Cosmetics easy tøday Liquid Refiner,Nø Cosmetics,Markenvorschlag,10,10,EUR,04260524941449
138,Theramid Azid Azelainsäure 15% 30 ml,THERAMID,Markenvorschlag,28,37,EUR,08436585434602
141,Beauty of Joseon Relief Sun Rice + Probiotics,Beauty of Joseon,Produktvorschlag,3,17,EUR,08809782555508 08809875902578
142,essence Kiss Bomb Shiny lipgloss & lip Balm,essence,Markenvorschlag,4,4,EUR,04059729590527
143,Dior Forever Foundation Skin Glow,Dior,Markenvorschlag,32,59,EUR,03348901578288 03348901578714 03348901578493
144,DOONAILS Soft Gel Press Ons Prosecco Short Round,Doonails,Markenvorschlag,14,20,EUR,04262401171437
145,KU2 Hyaluronsäure Serum,KU2 Cosmetics,Markenvorschlag,41,46,EUR,04260516960045
146,Mugler Alien Eau de Parfum,MUGLER,Markenvorschlag,20,109,EUR,03439600056914 03439600056969 03439600056921
147,Joop! Eau de Toilette Homme,JOOP!,Markenvorschlag,16,62,EUR,03607345809915 03414206010423 03414206000592
148,Linola Hautmilch Spender,Linola,Markenvorschlag,21,26,EUR,04048882126339
149,health routine Nail Care Pen Set Pflegende Unterstützung für gesunde Nägel,Health Routine,Markenvorschlag,42,44,EUR,
150,KESS / Duo Stick Case,Kess-Berlin,Markenvorschlag,,,EUR,04260645340909 04260645344334
151,Maybelline New York Foundation Lifter Plump & Glow,Maybelline,Markenvorschlag,8,11,EUR,03600531716219 03600531716325 03600531716271
152,Dermasence Polaneth Lotion,DERMASENCE,Markenvorschlag,16,30,EUR,04260149618450 04260149618443 00000036479726
153,Eucerin AtopiControl Lotion,Eucerin,Markenvorschlag,20,20,EUR,04005800074738 04005800072864 04005800077531
154,ACNE FREE Adapalene Gel USP,AcneFree,Markenvorschlag,,,EUR,00850004234563
156,Avene XeraCalm A.D Balsam,Avène,Markenvorschlag,16,22,EUR,03282770399523 03282770154566 03282770154559
157,Lila Zahnpasta Testsieger 2025 Whitening Zahncreme aus den USA,Diamond Smile™,Markenvorschlag,30,30,EUR,
158,Embryolisse Lait,Embryolisse,Produktvorschlag,8,23,EUR,03350900000394 03350900000011 03350900000899
159,Tarte Shape Tape Concealer,tarte,Markenvorschlag,18,38,EUR,00846733018000 00846733030330 00197689026404
160,IT Cosmetics Your Skin But Better CC+ Cream SPF 50,IT Cosmetics,Markenvorschlag,16,37,EUR,03605971979309 03605971979262 03605971979224
161,Orphica Realash Wimpernserum,ORPHICA,Markenvorschlag,50,70,EUR,03760073670001
162,Hourglass Vanish Airbrush Concealer,Hourglass,Markenvorschlag,16,38,EUR,00877231009566 00850014440060 00810063696719
163,NudeCosmetics EMS Kollagen Gua Sha Hautpflege-Routine Definiert Konturen + 3-fach Lichttherapie,nudecosmetics,Markenvorschlag,59,59,EUR,
164,Jean Paul Gaultier Eau de Parfum 2,Jean Paul Gaultier,Markenvorschlag,100,1348,EUR,08435415080460 03423470860023
165,Inspiriert von Valaya Duftzwilling | Cianni 535 | Extrait de Parfum 50ml,Cianni Fragrances,Markenvorschlag,25,25,EUR,
166,Dr. Emi Arpa Skin Absolute A Retinal Serum,Dr. Barbara Sturm,Markenvorschlag,45,88,EUR,04262405580266 04262405580051
167,24h Aufbaucreme Judith Williams,Judith Williams,Markenvorschlag,20,20,EUR,04063121153433
168,Eucerin Hyaluron Filler LSF 30,Eucerin,Markenvorschlag,27,30,EUR,04005800269783 04005800324574 04005800323843
169,caia signature line CAIA Glow Bronzer,CAIA,Markenvorschlag,39,39,EUR,07350099232022 07350099232039 07350099232046
170,LINOLA FORTE HAUTMILCH,Linola,Markenvorschlag,16,18,EUR,04048882126414
171,Eucerin Hyaluron Filler Epigenetic 30 ml Serum,Eucerin,Markenvorschlag,36,53,EUR,04005800342578 04005800343735
172,Wonderskin Wonder Blading All Day Lip Stain,WONDERSKIN,Markenvorschlag,16,27,EUR,00850007254827 00850007254834 00850007254766
173,CAIA Wake Me Up Cream,CAIA,Markenvorschlag,29,29,EUR,07350099230141 07350099230158
174,Australian Bodycare Salicylic Body Wash,Australian Body Care,Markenvorschlag,9,36,EUR,05709455023651 05709455024016 05709455024009
175,Isdin Eryfotona AK Fluid 50 ml,ISDIN,Markenvorschlag,27,28,EUR,08429420130166
176,25% Vitamin C + Glutathione Clinical Serum Paula's Choice,Paula's Choice,Produktvorschlag,12,59,EUR,08719324620727 00655439014977 08719324620734
177,Doonails Farben Spar-Bundle Soft Gel Press Ons 6 Designs,Doonails,Markenvorschlag,54,90,EUR,
178,CERAVE Gel,CeraVe,Produktvorschlag,9,15,EUR,03337875784054 03337875782357 03337875923859
179,L'ORÉAL PARIS Infaillible 24H Fresh Wear Cushion Foundation,L'Oréal Paris,Produktvorschlag,18,18,EUR,03600524258047 03600524258085 03600524258023
180,neonail Starter Set Unique,NeoNail,Markenvorschlag,60,60,EUR,05907052836586
181,jacks beauty line Glow Foundation 30 ml,JACKS beauty line,Markenvorschlag,36,45,EUR,04260709884554 04260709884547 04260709884530
182,L'Oréal Paris Revitalift Glass Skin Liquid Cream 50 ml,L'Oréal Paris,Produktvorschlag,,,EUR,03600524244453 03600524276232
183,Contractubex Gel,Contractubex,Markenvorschlag,17,35,EUR,04008491307932 04008491102230 04008491102568
184,Hugo Boss Bottled Eau de Toilette,HUGO BOSS,Markenvorschlag,26,75,EUR,00737052351018 00737052189765 00737052351100
185,Lattafa Eau de Parfum Eclaire,Lattafa,Markenvorschlag,28,35,EUR,06290362340638
186,Junglück Hyaluron Konzentrat,JUNGLÜCK,Markenvorschlag,34,34,EUR,04251333737675
187,judith williams Make-up Anti-Aging Foundation,Judith Williams,Markenvorschlag,11,11,EUR,09120082221955
188,Tiziana Terenzi Kirke Extrait de Parfum,Tiziana Terenzi,Markenvorschlag,90,194,EUR,08016741072482 04251168368549
189,LANCÔME IDÔLE Eau de Parfum,Lancôme,Markenvorschlag,17,129,EUR,03614273069175 03614272629370 03614272639638
190,judith williams Hydrogel Eye Pads,Judith Williams,Markenvorschlag,29,30,EUR,09120117750948
191,Smashbox Halo Healthy Glow All-in-one Tinted Moisturizer Mini,Smashbox,Markenvorschlag,20,20,EUR,00607710096257 00607710096264 00607710096271
192,Getöntes Serum JUNGLÜCK No Make-up Look lindert Rötungen,JUNGLÜCK,Markenvorschlag,8,8,EUR,
193,Zarkoperfume The Muse Eau de Parfum,ZARKOPERFUME,Markenvorschlag,57,86,EUR,05712590000487 05712590000975 05712590000845
194,CHANEL Chance Eau Splendide Eau de Parfum,CHANEL,Markenvorschlag,70,207,EUR,03145891362008 03145891362107 03145891362206
195,Yves Rocher Geschenkbox Comme une Evidence,Yves Rocher,Markenvorschlag,32,32,EUR,03660005436975
196,Judith Williams Kollagen Aktiv XXL Ampulle,Judith Williams,Markenvorschlag,17,17,EUR,09120130825517
197,Jean Paul Gaultier Le Male Le Parfum Eau de,Jean Paul Gaultier,Markenvorschlag,51,181,EUR,08435415032278 08435415032315 08435415032360
198,the ordinary Lash Curl Finisher,The Ordinary,Markenvorschlag,11,11,EUR,00769915235319
199,Sultan of Style Sweet Ocean Parfum Oil Herren,Sultan,Markenvorschlag,45,45,EUR,04260570260020
200,Carolina Herrera La Bomba Eau de Parfum,Carolina Herrera,Markenvorschlag,46,197,EUR,08411061077146 08411061077153 08411061077160
201,Dior Forever Skin Correct Concealer,Dior,Markenvorschlag,26,40,EUR,03348901637527 03348901637534 03348901637497
202,Inspiriert von Imagination Duftzwilling | Cianni 101 | Extrait de Parfum 50ml,Cianni Fragrances,Markenvorschlag,25,25,EUR,
203,Fenty Beauty Gloss Bomb Universal Lip Luminizer,Fenty Beauty,Markenvorschlag,15,24,EUR,00840026666879 00840026671552 00810763030578
204,Winter-Rabatt SCORTIN Lifting-Salbe bei faltiger Haut im Gesicht 50 ml,SCORTIN®,Markenvorschlag,40,40,EUR,
205,Masque luminothérapie Anti Age - Masque LED Anti âge efficace,Silky Planet,Markenvorschlag,120,120,EUR,
206,l'oréal paris L'Oréal Revitalift Laser Anti-Tränensack Sofort Lifting,L'Oréal Paris,Produktvorschlag,18,18,EUR,03600524186296
207,Verdichtendes Wimpern & Brauenserum 2 % Erbsenpeptide + Rizinusöl,Typology,Markenvorschlag,23,23,EUR,03665467004830
208,Profhilo H+L,Ibsa,Markenvorschlag,76,129,EUR,08033638950951
209,Xerjoff 1861 Naxos Eau de Parfum,Xerjoff,Markenvorschlag,143,439,EUR,08033488155070 08033488155100 08033488153946
210,Eucerin DermoPure Clinical Triple Action,Eucerin,Markenvorschlag,16,16,EUR,04005800367076
211,MAC Lipstick Macximal Sleek Satin,M·A·C,Markenvorschlag,17,24,EUR,00773602663484 00773602663699 00773602663620
213,La Roche-Posay Effaclar Duo+M,La Roche-Posay,Produktvorschlag,15,18,EUR,03337875863377
214,Escentric Molecules Molecule 01,Escentric Molecules,Markenvorschlag,122,150,EUR,05060103310029
215,RefectoCil Lash&Brow Booster,Refectocil,Markenvorschlag,35,40,EUR,09003877904021 09003877100065 09003877904090
216,Sanacutan Basiscreme,Pädia GmbH,Markenvorschlag,8,20,EUR,
217,Dr. Emi Arpa Skin Core Collection Set,Dr. Barbara Sturm,Markenvorschlag,168,168,EUR,04262405580181
218,Charlotte Tilbury Hollywood Flawless Filter,Charlotte Tilbury,Markenvorschlag,17,53,EUR,05060696176057 05060696174107 05060696174091
219,Bobbi Brown Long-Wear Cream Shadow Stick,Bobbi Brown,Markenvorschlag,20,43,EUR,00716170167398 00716170289267 00716170343266
220,Rosental Organics Botanical Lifting Effect Serum,Rosental Organics,Markenvorschlag,40,45,EUR,04260576416575
221,L'Occitane Shea Handcreme,L'OCCITANE,Markenvorschlag,9,25,EUR,03253581784761 03253581784815 03253581735428
222,Valentino Born In Roma Donna Purple Melancholia Eau de Parfum,Valentino,Markenvorschlag,57,161,EUR,03614274626834 03614274626841 03614274626858
223,Avene Cleanance Comedomed Anti-Unreinheiten Konzentrat,Avène,Markenvorschlag,14,15,EUR,03282770399226
224,Niacinamide Glow Cream Transparent Lab,Transparent Lab,Markenvorschlag,11,14,EUR,08436585434183
225,La Roche Posay Toleriane Rosaliac AR SPF30,La Roche-Posay,Produktvorschlag,17,17,EUR,03337875806961
227,jofrika Aqua Easy Creative Set 8er,Rubie's,Markenvorschlag,,,EUR,04002299087997
228,Neutrogena Hydro Boost Aqua Creme,Neutrogena,Produktvorschlag,8,11,EUR,03574661554297
229,Eucerin Pigment Control Sun Fluid LSF 50+,Eucerin,Markenvorschlag,12,17,EUR,04005800235412 04005800238963 04005800236396
230,Locobase Repair Creme,Locobase,Markenvorschlag,7,19,EUR,07311620015217 07311620015200 07311620015194
231,Bioderma Sensibio H2O Reinigungslösung Duo,BIODERMA,Markenvorschlag,19,19,EUR,
232,Aventus Creed Eau de Parfum,Creed,Markenvorschlag,135,384,EUR,03508440505118 03508441001114 03508440000651
233,BOSS Eau de Parfum Hugo Femme,HUGO BOSS,Markenvorschlag,18,78,EUR,00737052893877 03616306690295 00737052057989
234,Matiere Premiere Vanilla Powder Eau de Parfum,Matiere-premiere,Markenvorschlag,35,297,EUR,03760372460211 03760372460204 03760372460228
235,"Hormonelle Akne Creme: Komplettset bei hormonell bedingter Akne von Hautliebe, Hormonelle Akne nach Absetzen der Pille, Creme gegen hormonelle Pickel",Hautliebe,Markenvorschlag,70,70,EUR,
236,Doonails Soft Gel Press Ons Bubblegum Short Square,Doonails,Markenvorschlag,17,17,EUR,04262401170751
237,MAC Macximal Silky Matte Lipstick,M·A·C,Markenvorschlag,16,25,EUR,00773602685158 00773602685172 00773602685042
238,Erborian CC Creme,Erborian,Markenvorschlag,17,54,EUR,08809255786514 08809255786552 08809255786521
239,Davidoff Cool Water Eau de Toilette,DAVIDOFF,Markenvorschlag,17,43,EUR,03607342359789 03414202000572 00877216003909
240,Kiehl's Creamy Eye Treatment with Avocado,Kiehl's,Markenvorschlag,22,42,EUR,03700194714413 03605970236915 03614274549867
241,Judith Williams Retinol Science 24H Gesichtscreme,Judith Williams,Markenvorschlag,17,17,EUR,09120130821168
242,Chanel Bleu de Chanel Eau de Toilette,CHANEL,Markenvorschlag,63,128,EUR,03145891074505 03145891074604 03145891074802
243,2er Set Anti Poren Creme gegen Pigmentflecken,mellow NOIR,Markenvorschlag,56,60,EUR,
244,Chanel Chance Eau Fraiche Eau de Toilette,CHANEL,Markenvorschlag,59,148,EUR,03145891364309 03145891364200 03145891364705
